3.78,3.9,0.03
4.58,4.33,0.05
9.26,5.48,0.40
7.01,5.63,0.19
1.5,1.23,0.17
0.75,2.1,1.8
1.15,1.18,0.02
3.38,3.86,0.14
3.2,3.41,0.06
6.5,2.16,0.66
7.85,6.75,0.14
7.0,3.6,0.48
2.53,2.46,0.02
7.5,8.25,0.1
7.23,3.15,0.56
3.28,3.23,0.01
1.6,1.48,0.07
2.75,2.05,0.25
3.13,3.38,0.07
4.15,3.86,0.06
3.36,3.01,0.10
2.6,1.35,0.48
1.68,1.43,0.14
2.95,3.45,0.16
3.73,3.96,0.06
2.73,2.9,0.06
2.33,1.58,0.32
4.93,3.65,0.26
2.88,2.55,0.11
2.81,2.75,0.02
1.86,1.56,0.16
3.91,4.58,0.17
1.03,1.03,0.0
3.83,3.61,0.05
2.43,2.71,0.11
3.88,4.46,0.15
8.03,3.6,0.55
1.68,2.05,0.21
3.66,2.9,0.20
0.71,0.71,0.0
6.15,7.83,0.27
3.66,2.85,0.22
0.96,1.13,0.17
7.2,6.23,0.13
3.31,3.81,0.15
3.4,2.86,0.15
3.21,2.36,0.26
3.61,2.48,0.31
3.55,3.5,0.01
3.68,4.1,0.11
1.5,1.63,0.08
3.85,3.43,0.10
3.75,3.81,0.01
4.5,4.13,0.08
1.96,1.71,0.12
4.91,3.11,0.36
1.78,2.0,0.12
1.81,1.66,0.08
1.66,1.43,0.14
5.7,3.85,0.32
6.15,7.08,0.15
9.58,5.41,0.43
4.53,4.0,0.11
3.85,3.41,0.11
0.8,1.36,0.70
3.85,4.31,0.12
1.38,1.6,0.15
2.06,1.5,0.27
2.05,0.86,0.57
3.53,3.78,0.07
12.3,3.9,0.68
1.31,1.13,0.13
5.21,5.7,0.09
3.15,2.95,0.06
5.01,5.7,0.13
3.08,2.58,0.16
3.8,3.85,0.01
3.25,3.21,0.01
4.31,3.46,0.19
0.9,0.88,0.01
0.7,0.7,0.0
3.15,3.18,0.01
4.68,4.2,0.10
4.65,3.81,0.17
2.5,2.95,0.18
15.0,3.88,0.74
0.81,0.81,0.0
1.95,2.41,0.23
4.01,4.4,0.09
0.78,0.78,0.0
0.48,0.5,0.03
2.28,2.6,0.13
2.21,3.4,0.53
11.6,10.8,0.07
3.48,3.5,0.00
3.75,4.36,0.16
1.58,1.68,0.06
3.3,3.38,0.02
9.6,3.25,0.66
1.51,1.46,0.03
6.7,6.31,0.05
0.78,0.78,0.0
0.61,0.61,0.0
1.61,1.58,0.02
2.31,2.86,0.23
1.56,1.86,0.19
3.9,3.28,0.15
3.76,4.11,0.09
6.35,5.66,0.10
0.75,0.76,0.02
2.63,1.46,0.44
2.78,4.53,0.62
1.26,1.5,0.18
2.58,2.1,0.18
6.65,5.41,0.18
1.81,2.31,0.27
4.78,4.78,0.0
1.28,1.25,0.02
2.03,3.05,0.50
0.76,0.63,0.17
3.25,4.06,0.25
8.03,4.51,0.43
2.83,3.45,0.21
10.1,5.0,0.50
2.41,3.01,0.24
5.71,5.71,0.0
2.86,3.18,0.11
4.11,4.68,0.13
1.38,1.46,0.06
7.35,4.45,0.39
2.73,2.11,0.22
1.78,4.36,1.44
2.98,2.83,0.05
5.18,4.31,0.16
4.06,5.38,0.32
3.63,3.0,0.17
1.61,1.63,0.01
2.4,3.21,0.34
5.4,6.6,0.22
1.03,1.11,0.08
4.03,3.25,0.19
5.16,3.03,0.41
6.23,1.75,0.71
4.55,2.43,0.46
1.28,1.28,0.0
1.38,1.45,0.04
0.78,0.8,0.02
5.66,2.65,0.53
1.23,1.3,0.05
1.01,1.0,0.01
3.01,3.63,0.20
2.55,1.86,0.26
2.2,1.56,0.28
0.71,0.71,0.0
0.71,0.86,0.20
3.35,4.26,0.27
4.38,3.68,0.15
1.51,1.33,0.12
1.66,1.71,0.02
2.05,2.78,0.35
2.4,2.03,0.15
3.65,1.66,0.54
3.71,2.86,0.22
4.21,4.71,0.11
4.4,4.9,0.11
1.31,1.38,0.05
4.65,2.6,0.44
4.2,3.53,0.15
4.71,2.85,0.39
0.73,0.8,0.09
1.8,1.93,0.07
3.36,3.46,0.02
1.75,1.98,0.13
17.4,2.96,0.82
0.93,0.91,0.01
1.95,2.06,0.05
2.68,3.0,0.11
1.26,1.26,0.0
0.68,0.7,0.02
4.43,3.41,0.22
2.48,1.9,0.23
4.71,2.15,0.54
1.08,1.1,0.01
8.08,4.4,0.45
0.81,1.11,0.36
1.91,2.03,0.06
2.05,3.7,0.80
1.6,1.38,0.13
4.4,3.7,0.15
11.4,3.0,0.73
3.33,5.93,0.78
2.43,0.8,0.67
1.11,1.15,0.02
5.7,3.85,0.32
3.13,3.63,0.15
1.38,1.81,0.31
4.96,5.91,0.19
0.88,1.18,0.33
7.05,6.75,0.04
8.56,8.21,0.04
2.0,2.78,0.39
2.5,2.8,0.11
4.35,3.51,0.19
5.3,4.08,0.22
2.81,2.23,0.20
1.4,1.55,0.10
2.7,3.86,0.43
4.06,3.83,0.05
3.06,3.71,0.21
5.26,5.21,0.00
2.13,2.08,0.02
5.81,3.28,0.43
1.7,1.58,0.06
3.03,2.48,0.18
1.18,1.16,0.01
1.35,2.53,0.87
3.28,2.96,0.09
2.83,3.6,0.27
1.4,1.11,0.20
1.88,1.5,0.20
2.75,2.91,0.06
4.55,4.01,0.11
3.61,3.35,0.07
3.86,4.0,0.03
3.53,5.18,0.46
2.53,2.73,0.07
2.13,3.0,0.40
3.36,5.21,0.54
